Fecha, DANHOS13 , FCFE18 , FHIPO14 , FIBRAHD15 , FIBRAMQ12 , FIBRAPL14 , FIHO12 , FINN13 , FMTY14 , FNOVA17 , FPLUS16 , FSHOP13 , FUNO11 , STORAGE18 , TERRA13 
01/05/2014,21.14,,,,16.91,,16.64,11.54,,,,9.95,35.27,,19.71
01/06/2014,23.45,,,,16.72,,16.64,11.34,,,,10.43,32.61,,20.43
01/07/2014,27.4,,,,18.55,23.87,17.79,12.69,,,,10.59,37.4,,22.47
01/08/2014,28.25,,,,18.43,23.8,17.56,12.08,,,,10.89,38.25,,22.86
01/09/2014,27.76,,,,18.21,24.91,17.31,11.98,,,,10.69,38.72,,22.92
01/10/2014,28.09,,,,16.34,24.83,17.77,11.81,,,,10.37,36.6,,22.67
01/11/2014,27.01,,,,16.92,24.13,17.08,11.46,,,,10.72,38.66,,24.01
01/12/2014,27.87,,24.8,,16.64,25.26,17.21,11.16,,,,10.72,38.65,,23
01/01/2015,28.44,,24.9,,17.26,23.28,16.76,10.95,8.4,,,11.28,36.09,,23.77
01/02/2015,28.18,,26.52,,16.92,25.25,15.12,11.32,8.4,,,10.9,37.18,,24.93
01/03/2015,28.57,,26.39,,17.41,24.84,16.94,11.82,8.54,,,11.1,34.64,,24.77
01/04/2015,28.65,,25.74,,17.03,23.54,15.16,10.99,8.78,,,10.27,33.63,,24.21
01/05/2015,29.97,,26.4,,16.83,23.52,15.88,10.16,8.92,,,10.27,31.64,,23.43
01/06/2015,29.74,,25.75,,15.71,22.92,14.78,10.18,8.74,,,10.12,32.18,,23.41
01/07/2015,29.12,,26.15,8.14,15.32,22.91,13.01,10.52,8.32,,,10.33,30.83,,23.85
01/08/2015,27.78,,27,8.59,16.35,23.36,13.22,11.03,8.71,,,10.39,31.81,,25.58
01/09/2015,26.43,,26.75,8.15,15.96,22.52,11.96,10.55,8.32,,,9.59,29.58,,24.07
01/10/2015,27.6,,26,8.15,15.17,22.43,12.88,10.41,8.88,,,10.04,28.28,,23.34
01/11/2015,29.51,,25.84,8.42,15.78,23.77,12.36,9.01,9.02,,,10.14,30.06,,23.83
01/12/2015,28.54,,25.74,8.21,15.55,23.32,11.61,9.23,8.95,,,10.16,32.3,,22.9
01/01/2016,28.15,,25.05,8.17,15.6,22.59,12,9.67,8.68,,,10.35,31.77,,21.87
01/02/2016,26.68,,25.2,8.22,15.3,22.7,10.52,9.63,9.03,,,10.14,30.42,,22.86
01/03/2016,27.28,,24.75,8.18,16.42,22.91,10.81,9.62,9.02,,,10.29,31.27,,23.44
01/04/2016,28.31,,24.55,8.3,16.62,23.65,12.24,9.36,9.32,,,10.38,33.47,,25.08
01/05/2016,30.49,,24.9,8.31,16.93,23.45,11.96,9.9,9.32,,,10.17,34.18,,24.7
01/06/2016,26.97,,24.8,8.27,16.74,25.52,11.39,9.63,9.1,,,9.89,33.09,,24.59
01/07/2016,26.38,,25.05,8.28,17.51,26.06,11.18,9.54,9.39,,,10.35,32.66,,24.51
01/08/2016,26.94,,27,8.31,17.45,26.01,10.45,8.78,9.74,,,10.44,32.03,,24.53
01/09/2016,27.52,,26.95,8.37,18.41,28.09,10.79,8.57,9.27,,,10.51,31.2,,25.39
01/10/2016,27.4,,26.99,8.41,17.64,28.21,10.19,8.64,9.29,,,9.75,30.05,,26.28
01/11/2016,27.57,,27,8.31,17.71,28.88,11.81,9.24,9.18,,,10.13,30.48,,25.53
01/12/2016,25.25,,24.3,8.22,15.51,26.45,12.04,8.32,8.81,,14.81,8.46,27.39,,23.57
01/01/2017,24.16,,23.39,7.98,16.13,26.92,11.05,8.39,8.7,,14.86,8.21,27.29,,21.7
01/02/2017,24.84,,22.17,7.83,15.45,25.9,12.09,7.85,8.14,,14.81,8.41,25.72,,23.84
01/03/2017,24.51,,22.99,7.96,15.63,27.26,11.53,7.77,8.24,,13.77,8.35,25.38,,24.17
01/04/2017,24.7,,22.55,7.81,16.2,29.67,12.06,8.23,8.46,,14.81,8.49,28.05,,25.8
01/05/2017,26.21,,22.78,7.9,15.99,29.64,12.29,8.5,8.49,,14.86,8.79,28.63,,26.92
01/06/2017,26.54,,22.32,7.9,15.12,29.61,11.15,9.51,8.92,,14.86,8.41,29.58,,27.07
01/07/2017,26.56,,22.71,8.02,16.87,32.5,11.26,9.46,8.86,,14.66,8.09,30.11,,28.72
01/08/2017,26,,22.61,8.05,17.28,32.89,12.2,9.24,8.99,,14.81,7.96,28.89,,26.78
01/09/2017,25.51,,22.11,7.96,19.28,34.21,11.92,9.38,9.3,,14.81,7.73,27.83,,26.74
01/10/2017,25.66,,21.04,7.96,18.98,34,11.62,9.43,9.35,,14.81,7.37,26.79,,27.53
01/11/2017,26.33,,19.49,8.05,18.38,35.36,10.57,9.36,9.39,,14.81,7.63,26.33,,25.88
01/12/2017,25.8,,18.66,8.01,17.63,34.03,10.21,9.28,9.38,,14.32,7.82,25.36,,26.62
01/01/2018,25.1,,19.11,7.99,16.86,32.47,9.55,9.08,9.46,,14.32,7.18,25.51,,26.55
01/02/2018,25.62,,19.29,8.01,16.73,32.24,9.37,8.75,9.24,,14.68,7.16,25.69,,25.38
01/03/2018,25.35,15.15,18.15,7.86,16.25,33.74,8.62,9.24,9.51,,14.07,7.27,24.01,,24.99
01/04/2018,25.25,14.79,17.2,7.81,16.94,32.94,9.76,9.81,9.43,,13.33,7.63,24.07,,27.64
01/05/2018,26.77,14.67,17.5,7.71,16.54,33.8,9.87,10.26,9.31,,12.74,7.41,27.2,,27.2
01/06/2018,25.52,13.98,15.05,7.67,17.27,33.79,9.37,10.26,9.29,,12.74,6.57,24.16,,26.58
01/07/2018,24.6,13.73,16.37,7.45,16.65,35.64,9.87,10.23,9.49,,13.87,6.48,25.18,,25.17
01/08/2018,25.86,13.79,17.2,7.27,17.2,36.02,10.72,10.46,9.38,,14.56,7.22,23.58,,27.1
01/09/2018,26.92,13.79,17.67,7.32,18.2,36.53,10.21,10.38,9.61,15.42,14.96,7.15,22.04,15.69,27.51
01/10/2018,25.67,14.45,16.59,7.5,19.32,36.87,10.58,9.43,9.85,15.42,15.39,7.11,21.64,15.69,27.51
01/11/2018,22.7,13.34,15,7.17,17.05,34.81,8.71,8.81,9.48,15.42,14.51,6.63,19.23,15.4,23.69
01/12/2018,20.43,11.53,12.99,6.98,15.72,32.41,8.7,8.46,9.16,15.42,13.92,6.04,18.43,15.4,25.18
01/01/2019,19.92,13.46,13.92,7.17,15.5,29.3,8.31,8.68,9.42,15.42,14.75,6,19.22,15.4,22.5
01/02/2019,23.45,13.4,13.25,7.11,18.39,32.18,8.66,8.37,9.32,15.42,14.02,6,23.36,14.94,26.22
01/03/2019,23.52,13.6,14.07,7.08,19.49,34.69,8.91,8.14,9.58,15.71,12.84,5.73,23.89,14.94,27.62
01/04/2019,23.73,14.57,16.5,6.92,18.8,36.14,8.57,7.4,9.56,15.71,13.72,5.86,24.07,15.44,28.85
01/05/2019,23.7,15.46,17.7,7.15,20.14,39.23,8.4,7.22,9.46,16.02,14.07,6.08,25.09,15.43,30.39
01/06/2019,20.94,15.11,16.72,7.15,18.3,37.18,8.19,7.35,9.22,16.02,13.92,6.38,22.75,15.4,28.88
01/07/2019,22.55,15.18,17.4,6.99,19.84,38.81,7.44,6.34,9.46,13.09,13.68,6.15,23.06,15.3,29.07
01/08/2019,22.47,15.02,17.22,6.97,19.66,37.29,6.63,6.26,9.46,13.09,13.33,6.67,22.14,15.3,26.06
01/09/2019,23.32,16.96,18.44,6.83,21.89,38.07,8.22,6.38,9.34,14.51,12.65,6.26,25,15.2,27.83
01/10/2019,24.14,19.78,19.12,6.7,22.88,39.91,8.54,7.06,9.62,14.91,12.84,6.43,26.39,15.2,29.37
01/11/2019,25.6,20.43,19,6.72,24.77,40.23,8.29,6.7,9.98,14.91,11.55,6.96,26.54,15.4,30.47
01/12/2019,25.39,23.93,20.01,6.52,24.82,40.2,8.73,6.67,9.95,14.91,10.96,7.34,27.68,15.4,30.73
01/01/2020,25.47,23.35,20.53,7.57,22.67,40.82,8.62,6.78,9.9,14.6,11.84,7.48,27.11,15.4,30.03
01/02/2020,26.08,23.46,19.97,7.54,23.79,40.65,7.98,7.32,9.9,14.6,11.36,7.97,28.55,15.4,29.65
01/03/2020,24.42,21.05,18.9,7.69,24.19,40.62,7.07,7.13,9.85,14.45,10.86,8.01,27.49,15.4,28.61
01/04/2020,17.37,17.13,16.66,5.94,18.01,34.46,4.4,5.37,7.32,14.79,10.86,6.69,16.86,15.4,25.46
01/05/2020,16.82,16.38,15.67,4.47,18.24,38.5,4.68,4.98,8.05,14.79,11.01,5.77,18.3,15.39,24.5
01/06/2020,18.04,17.99,15.91,3.96,21.86,41.02,3.96,4.6,8.53,15.14,10.96,5.54,15.89,15.4,27.16
01/07/2020,19.14,21.13,16.89,4.71,22.09,39.98,4.52,4.89,8.4,15.14,11.26,5.06,17.16,15.4,26.33
01/08/2020,19.01,21.77,17,4.44,24.14,42.57,4.35,4.79,8.61,15.13,12.2,4.55,16.95,15.4,27.63
01/09/2020,18.41,21.38,17.1,4.57,23.95,42.63,4.4,4.74,8.58,15.89,13.33,4.93,16.25,15.4,27.75
01/10/2020,17.93,22.46,16.91,4.48,26.25,42.01,4.35,4.55,8.68,15.2,12.84,5.22,16.6,15.4,30.26
01/11/2020,16.99,22.29,17.2,4.47,23.43,41.72,4.28,4.77,9.05,14.91,11.21,5.2,15.38,15.35,29.02
01/12/2020,21.03,22.98,19.21,5.25,24.5,42.65,4.18,4.51,10.2,15.12,10.57,5.35,19.44,15.4,28.53
01/01/2021,21.86,23.89,19.68,4.79,27.87,43.29,4.2,3.93,10.32,15.12,10.22,6.68,21.89,15.3,30.16
01/02/2021,21.51,24.74,20.6,4.76,24.36,40.29,5.35,3.98,10.47,14.93,10.57,6.03,22.18,15.3,28.27
01/03/2021,22.79,25.31,20.2,4.38,24.17,41.87,5.57,4.03,10.56,14.79,10.26,6.32,22.92,15.25,29.01
01/04/2021,22.44,24.7,19.22,4.17,24.34,43.13,5.9,3.89,10.45,17.88,10.12,6.17,23.37,15.8,30.04
01/05/2021,20.98,25.41,19.5,4.04,22.99,42.34,5.54,3.74,10.62,16.51,9.58,6.21,23.73,15.95,30.44
01/06/2021,21.14,25.26,20.19,3.94,21.48,45.43,5.9,3.08,10.65,18.49,10.32,6.57,22.53,15.9,30.28
01/07/2021,19.99,25.62,19.9,3.79,23.55,43.23,5.59,4.03,11.39,17.65,9.18,6.19,20.87,15.99,30.11
01/08/2021,20.91,25.24,20.5,3.18,23.3,42.61,5.39,3.96,11.02,18.46,8.49,6.03,21.01,15.9,31.02
01/09/2021,22.16,25.66,19.95,3.75,24.78,45.34,6.32,3.86,11.12,18.44,11.16,6.1,22.11,15.59,30.94
01/10/2021,23.4,25.9,20.91,3.65,23.62,43.68,5.9,3.64,11.12,19.74,12.8,5.92,22.89,15.45,29.7
01/11/2021,22.65,24.45,21.2,3.3,23.47,46.29,5.74,3.25,11.02,18.89,9.16,5.65,19.94,15.39,28.47
01/12/2021,19.81,23.99,20.85,3.2,23.72,47.95,5.64,3.1,11.17,20.17,8.38,5.91,19.36,15.39,25.54
01/01/2022,21.73,23.68,20.11,3.2,25.15,55.47,5.55,3.01,11.41,22.34,9.04,6.22,21.23,16.15,28.54
01/02/2022,20.53,23.68,18.99,2.94,23.05,50.22,5.83,3.42,11.5,24.2,7.15,6.13,21.39,16.15,28.54
01/03/2022,21.33,23.11,19.03,2.82,23.68,48.06,8,3.53,11.56,26.74,6.7,6.04,22.45,16.15,26.65
01/04/2022,22.02,23.99,19.01,2.61,22.83,50.86,7.61,3.55,11.57,25.43,5.92,6.12,22.78,16.14,28.18
01/05/2022,21.15,23.94,19.5,2.69,21.52,53.28,8.54,3.2,11.83,26.26,5.78,5.81,22,16.14,27.54
01/06/2022,22.23,23.43,19.5,2.7,24.66,50.35,7.93,3.6,11.48,26.37,9.28,6.18,20.77,16.12,29.4
01/07/2022,20.57,23.83,18.95,2.76,24,51.42,7.3,3.53,11.52,27.08,8.7,5.76,20,16.04,26.99
01/08/2022,21.85,24.13,18.71,2.56,25.36,55.32,7.81,3.55,11.44,28.52,8.22,6.15,20.82,15.98,29.18
01/09/2022,22.18,25.9,18.5,2.64,24.26,50.68,7.83,3.27,11.49,27.71,7.48,5.99,21,15.79,27
01/10/2022,22.89,24.96,18.28,2.47,23.21,50.43,8.02,3.4,11.7,26.36,7.19,6.09,20.91,15.8,26.73
01/11/2022,23.17,24.48,18.68,2.54,25.24,49.72,7.69,3.36,11.69,25.92,7.8,5.95,23.13,16.5,27.95
01/12/2022,22.36,24.58,18,2.44,27.63,57.98,8.03,3.88,11.76,26.16,6.99,5.92,24.08,17.2,28.04
01/01/2023,22.53,25.1,17.49,2.49,27.25,54.72,8.97,5.72,11.98,27.07,8.79,5.93,23.08,17.25,28.1
01/02/2023,23.65,25.96,17.18,2.75,30.54,60.1,9.58,5.82,11.87,26.98,7.7,5.72,25.59,17.25,31.99
01/03/2023,23.14,26.68,16.88,2.45,30.15,65.84,11.44,6.39,11.98,28.7,7.21,5.41,26.49,17.77,33.99
01/04/2023,23.19,26.27,16.71,2.42,27.33,63.71,11.7,5.86,12.02,29.24,6.69,5.7,25.19,17.65,33.26
01/05/2023,23.1,26.65,16.5,2,28.36,60.71,11.47,5.58,11.99,30.46,6.16,6.02,24.78,17.25,33.65
01/06/2023,21.75,27.41,16.59,1.98,28.55,57.47,10.82,5.71,11.65,30.06,5.69,5.81,25.51,17.25,32.18
01/07/2023,21.09,27.13,16.72,1.92,29.01,62.27,10.39,5.65,11.57,28.31,5.19,5.9,25,17.25,32.98
01/08/2023,21.43,26.76,16.56,1.97,31.02,60.78,10.76,5.72,11.15,27.89,6.19,6.09,25.16,17.4,34.05
01/09/2023,20.91,26.56,17,2,30.55,58.67,10.7,5.47,10.81,26.97,5.48,5.75,24.95,17.75,32.13
01/10/2023,19.77,26.56,16.87,2.02,28.04,58.71,10.56,5.26,10.65,27.23,5.24,6,29.08,17.5,30.81
01/11/2023,19.19,26.54,16.84,2.07,26.68,63.24,10.57,5.5,10.08,26.87,4.99,5.89,27.43,16.8,29.26
01/12/2023,19.48,27.73,16,1.91,29.42,73.04,10.64,5.27,10.81,27.14,5.15,5.97,28.05,16.7,31.13
01/01/2024,21.09,26.69,15.63,2.06,31.8,79.41,10.36,5.1,12.06,27.63,5.06,6.02,30.62,17.35,36.44
01/02/2024,21.14,26.72,16,2.25,31.67,70.7,10.05,5.29,11.92,27.98,6.34,6.32,29.25,17.84,37.05
01/03/2024,20.65,27.5,16.1,2.18,33.8,76.98,9.95,5.8,11.84,28.33,6.9,6.34,30.51,17.81,40.84
01/04/2024,20.34,26.73,16.14,2.21,32.4,73.12,9.73,5.72,11.41,28.71,8.1,6.24,27.61,17.35,45.4
01/05/2024,20.63,26.1,16.09,2.11,31,67.89,9.1,5.6,10.4,28.25,7.06,6.3,24.5,17.37,41.9
